,,,,
Filename,Start,End,USSig,USmode
Dark,01/01/2000,01/01/2000,,
solo_L1_phi-fdt-ilam_20200228T155103_V202109240737I_0022210004.fits,10/02/2020,27/04/2021,,
solo_L1_phi-hrt-ilam_20210428T130238_V202109240900C_0164281001.fits,28/04/2021,31/12/2022,,
Flat,01/01/2000,01/01/2000,,
aprilL1_avgd_2020_flat.fits,10/02/2020,01/01/2021,49,"""UV"""
solo_L1_phi-hrt-flat_20210220T110215_V202109240832I_0162201100.fits,01/01/2021,31/08/2021,59,"""UV"""
0169111100_DC_10data.fits,31/08/2021,30/09/2021,49,"""V"""
l1/groundflat/0171051100_DCmergingV02.fits,01/11/2021,31/12/2021,49,"""UV"""
Prefilter,01/01/2000,01/01/2001,,
fitted_prefilter.fits,10/02/2020,31/12/2028,,